	sex	days	col	bl	weight	melanoma	weightM	weightF	weightRes	daysM	daysF	daysRes
X13571	1	1	1	1	1	1	1	1	1	1	1	1
X40336	1	1	1	1	1	1	1	1	1	1	1	1
X16755	1	1	1	1	1	1	1	1	1	1	1	1
X1289	1	1	1	1	1	1	1	1	1	1	1	1
X21044	1	1	1	1	1	1	1	1	1	1	1	1
X39863	1	1	1	1	1	1	1	1	0.979749540347294	1	1	1
X10337	1	1	1	1	1	1	1	1	1	1	1	1
X7159	1	1	1	1	1	1	1	1	1	1	1	1
X6113	1	1	1	1	1	1	1	0.976351804195805	1	1	1	1
X8111	1	1	1	1	1	1	1	1	1	1	1	1
X25984	1	1	1	1	1	1	1	1	1	1	1	1
X16149	1	1	1	1	1	1	1	1	1	0.928369351810462	1	1
X35917	1	1	1	1	1	1	1	1	1	1	1	1
X9160	1	1	1	1	1	1	1	1	1	1	1	1
X8708	1	1	1	1	1	1	1	1	1	1	1	1
X38998	1	1	1	1	1	1	1	1	1	1	1	1
X9316	1	1	1	1	1	1	1	1	1	1	1	1
X27115	1	1	1	1	1	1	1	1	1	1	1	1
X26532	1	1	1	1	1	1	1	1	1	1	1	1
X25287	1	1	1	1	1	1	1	1	1	1	1	1
X32009	1	1	1	1	1	1	1	1	1	1	1	1
X43188	1	1	1	1	1	1	1	1	1	1	1	1
X4058	1	1	1	1	1	1	1	1	1	1	1	1
X38902	1	1	1	1	1	1	1	1	1	1	1	1
X35258	1	1	1	1	0.976933679180889	1	0.957969722113503	1	1	1	1	1
X44442	1	1	1	1	1	1	0.845613364485981	1	1	1	1	1
X27219	1	1	1	1	1	1	1	1	1	1	1	1
X54599	1	1	1	1	1	1	1	1	1	1	1	1
X14016	1	1	1	1	1	1	1	0.719743327615781	1	1	1	1
X49177	1	1	0.0359090196078292	0.176595428571442	1	1	1	1	1	1	1	1
X53695	1	0.0849600000000064	1	1	1	1	1	1	1	0.268093475935832	1	0.130541157024798
X23699	1	1	1	1	1	1	1	1	1	1	1	1
X7274	1	1	1	1	1	1	1	1	1	1	1	1
X27035	1	1	1	1	1	1	1	1	1	1	1	1
X19488	1	0.743155487336915	1	0.96403613483146	1	1	1	0.974390086206896	1	1	1	0.933615187257858
X1644	1	1	1	1	1	1	1	1	1	1	0.778361009372745	1
X40526	1	1	1	1	1	1	1	0.933068830384116	1	1	1	1
X55942	1	1	0.0682965745856194	0.269039999999994	1	1	1	1	1	1	1	1
X14276	1	1	1	1	1	1	1	1	1	1	1	1
X4815	1	1	1	1	1	1	0.862725622578862	1	0.940735920398009	1	0.74090735362998	1
X44856	1	1	1	1	1	1	1	1	1	1	1	1
X25424	1	1	1	0.92135570247934	1	1	1	0.61514397365532	1	1	0.603709953488373	1
X45151	1	1	1	1	1	1	1	1	1	1	1	1
X31408	1	1	1	1	0.964752930444698	1	0.933587692307692	1	0.959936110471807	1	0.899846273745739	1
X50047	1	1	1	1	1	1	1	1	1	1	1	1
X3832	1	1	1	1	1	1	1	1	1	1	1	1
X3412	1	1	1	1	1	1	1	1	1	1	1	1
X11184	1	1	1	1	1	0.276101984732829	1	1	1	1	1	1
X6485	1	1	1	1	1	1	1	1	1	1	1	1
X17346	1	1	0.957154917647059	1	1	1	1	1	1	1	1	1
X34008	1	1	1	1	1	1	1	0.920918443935926	1	1	1	1
X39816	1	1	1	1	1	1	1	1	1	1	0.976022928870293	1
X32237	1	1	1	1	1	1	1	1	1	1	1	1
X19420	1	1	1	1	0.974958231578949	1	1	1	1	1	1	1
X9765	1	1	1	1	1	1	1	1	1	1	1	1
X741	1	1	1	1	1	1	1	1	0.914381163120566	1	1	1
X21153	1	1	1	1	1	1	1	1	1	1	1	1
X18483	1	1	1	1	1	1	1	1	1	1	1	1
X45774	1	1	1	1	1	1	1	1	1	1	1	1
X8733	1	1	1	1	1	1	1	1	1	1	1	1
X3192	1	1	1	1	1	1	1	1	1	1	1	1
X30512	1	1	1	1	1	1	1	1	1	1	1	1
X4294	1	1	1	1	1	1	1	1	1	1	1	1
X36720	1	1	1	1	1	1	1	1	1	1	1	1
X16866	1	1	1	1	1	1	1	1	1	1	1	1
X1058	1	1	1	1	1	1	1	1	1	1	0.966513705882353	1
X37317	1	1	1	1	1	1	1	1	1	1	1	1
X44198	1	1	1	1	1	1	1	1	1	1	1	1
X52874	1	1	1	1	1	1	1	1	1	1	1	1
X8181	1	1	1	1	1	1	1	1	1	1	1	1
X15846	1	1	1	1	1	1	1	1	1	1	1	1
X39562	1	1	1	1	1	1	1	1	1	1	1	1
X33470	1	1	1	1	1	1	0.814160199875078	1	1	1	1	1
X52949	1	1	0.0555759537572369	0.18687346938776	1	0.18687346938776	1	1	1	1	1	1
X17089	1	1	1	1	1	1	1	1	1	0.900789087378642	1	1
X51859	1	1	1	1	1	1	1	1	1	1	1	1
X50154	1	1	1	1	1	1	1	1	1	1	1	1
X45959	1	1	1	1	1	1	1	1	1	1	1	1
X11149	1	1	0.331142138364775	0.618742236421727	1	0.793198544474396	1	1	1	1	1	1
X29346	1	1	1	1	1	1	1	1	1	1	1	1
X29962	1	1	1	1	1	1	0.891523185664509	1	1	1	1	1
X10135	1	1	1	1	1	1	1	1	1	1	1	1
X2979	1	1	1	1	1	1	1	1	1	1	1	1
X50947	1	1	1	1	1	0.948679176276771	1	1	1	1	1	1
X44388	1	1	1	1	1	1	1	1	1	1	1	1
X20584	1	1	0.808724379376192	0.751548679245281	1	1	1	1	1	1	1	1
